20220523	09:07:22	22a08c80-4a3b-455a-bf2f-cae301b179ec	POST	undefined	/auth
20220523	09:08:01	a5f451e3-a9f4-4c8c-b04d-68dea0e8a141	GET	undefined	/employees
20220523	09:08:03	fd266238-9a8e-418e-a0cc-1cdad8c62501	GET	undefined	/employees
20220523	09:08:08	792d39c0-73d3-422c-8686-3dd248fc3df5	GET	undefined	/employees
20220523	09:08:11	cf470158-4114-41e4-a508-523530689234	GET	undefined	/employees
20220523	09:08:15	bef183d2-484c-4366-aac4-0e3a4b0d0ae7	GET	undefined	/employees
20220523	09:08:18	0d68340e-698d-4b14-a72c-3128d71ffa91	GET	undefined	/employees
20220523	09:08:21	7058ac78-3a78-4e2c-877a-28389df78d65	GET	undefined	/employees
20220523	09:08:25	37c48a87-8132-439c-95d8-f0445e050df5	GET	undefined	/employees
20220523	09:44:23	a01ab3db-f93a-4f3d-8e31-7cef94de91d4	POST	undefined	/auth
20220523	09:45:43	7934f647-6e1c-4dd4-a219-e713dfcf6f9f	GET	undefined	/refresh
20220523	09:46:46	c070ba2a-22cd-4056-bbfe-c3899c0fad76	GET	undefined	/refresh
20220523	09:47:02	b611d85a-42a9-435e-bf1c-98d03442aa7d	GET	undefined	/refresh
20220523	09:47:04	c60b170d-37aa-488d-a9ce-2e9a9f5f47b4	GET	undefined	/refresh
20220523	09:47:06	4d9be5d9-e45d-4097-a99c-5362a94cb41d	GET	undefined	/refresh
20220523	09:47:14	2dc99562-a3b2-46ff-a315-94694db78fd3	GET	undefined	/refresh
20220523	09:47:16	7c752669-a9b0-4e95-b257-2ce4b4d9a564	GET	undefined	/refresh
20220523	10:22:38	113d451c-1342-4b9f-ac5a-19f524edac7a	POST	undefined	/auth
20220523	10:23:25	49266e49-ccef-4244-bf59-6e764555987c	GET	undefined	/logout
20220523	10:23:41	3923dff8-7a89-494c-92ef-1beee90e5d89	GET	undefined	/logout
20220523	10:24:25	59af6250-8f9b-4a5c-aa1b-60e2d25814c0	GET	undefined	/refresh
20220523	21:43:35	4d94e333-384f-4a6b-a9fc-467639b79861	GET	undefined	/css/style.css
20220523	21:48:55	e254e832-1a8e-4564-b8fd-2d1ae4675bdc	POST	undefined	/register
20220523	21:50:22	5f8ad832-f020-42aa-b3b2-ffa10e663fd1	POST	undefined	/register
20220523	21:51:00	dba7716a-b735-4560-bc16-390af3947771	POST	undefined	/auth
20220523	21:51:41	75368797-b3e7-4298-b52e-bf0469fc9e16	GET	undefined	/employees
20220523	21:52:38	085a3a10-7dd4-4e12-9b49-1c781fd01e2a	POST	undefined	/auth
20220523	21:54:33	162c0d05-d450-455e-b7b2-3433146830ee	POST	undefined	/auth
20220523	21:55:07	c841dd98-5538-4c51-aa3f-4c93343365e0	GET	undefined	/employees
20220523	23:01:49	32f6b004-3087-4498-b251-d9c659c2bf46	POST	undefined	/auth
